Ind,Exercise,Difficulty_Level,Target_Muscle_Group,Prime_Mover_Muscle,Primary_Equipment ,Secondary_Items,Posture,Single_or_Double_Arm,Continuous_or_Alternating_Arms,Grip,Load_Position_Ending,Continuous_or_Alternating_Legs ,Foot_Elevation,Combination_Exercises,Body_Region,Force_Type,Laterality,Primary_Exercise_Classification
385,Parallette Tuck L Sit,Intermediate,Abdominals,Rectus Abdominis,Parallette Bars,0,Tuck L Sit,Double Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Midsection,Other,Bilateral,Calisthenics
386,EZ Bar Close Grip Bicep Curl,Novice,Biceps,Biceps Brachii,EZ Bar,0,Standing,Double Arm,Continuous,Supinated,Other,Continuous,No Elevation,Single Exercise,Upper Body,Pull,Bilateral,Bodybuilding
387,EZ Bar Overhead Press,Novice,Shoulders,Anterior Deltoids,EZ Bar,0,Standing,Double Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Upper Body,Push,Bilateral,Bodybuilding
388,Parallette Single Leg L Sit,Intermediate,Abdominals,Rectus Abdominis,Parallette Bars,0,L Sit,Double Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Midsection,Other,Unilateral,Calisthenics
389,Stability Ball Bottoms Up,Intermediate,Abdominals,Rectus Abdominis,Stability Ball,0,Supine,No Arms,Continuous,No Grip,Other,Continuous,No Elevation,Single Exercise,Midsection,Other,Bilateral,Unsorted*
390,Stability Ball Windshield Wiper,Novice,Abdominals,Obliques,Stability Ball,0,Supine,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Midsection,Other,Bilateral,Unsorted*
391,Stability Ball Tall Kneeling Balance,Intermediate,Abdominals,Rectus Abdominis,Stability Ball,0,Tall Kneeling,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Midsection,Other,Bilateral,Balance
392,Stability Ball Oblique Crunch ,Beginner,Abdominals,Obliques,Stability Ball,0,Supine,No Arms,Continuous,Head Supported,No Load,Continuous,No Elevation,Single Exercise,Midsection,Other,Bilateral,Unsorted*
393,Stability Ball Forearm Plank,Novice,Abdominals,Rectus Abdominis,Stability Ball,0,Prone,Double Arm,Continuous,Forearm,No Load,Continuous,No Elevation,Single Exercise,Midsection,Other,Bilateral,Unsorted*
394,Slider Double Kettlebell Suitcase Lateral Lunge,Novice,Adductors,Adductor Magnus,Sliders,2,Standing,Double Arm,Continuous,Neutral,Suitcase,Continuous,No Elevation,Single Exercise,Lower Body,Other,Unilateral,Bodybuilding
395,Slider Kettlebell Horn Grip Lateral Lunge,Novice,Adductors,Adductor Magnus,Sliders,1,Standing,Double Arm,Continuous,Horn Grip,Front Rack,Continuous,No Elevation,Single Exercise,Lower Body,Other,Unilateral,Bodybuilding
396,Single Arm Dumbbell Turkish Sit Up,Intermediate,Abdominals,Rectus Abdominis,Dumbbell,0,Supine,Single Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Midsection,Other,Unilateral,Unsorted*
397,Single Arm Landmine Turkish Sit Up,Intermediate,Abdominals,Rectus Abdominis,Landmine,0,Supine,Single Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Midsection,Other,Unilateral,Unsorted*
398,Double Kettlebell Front Rack Cyclist Squat,Novice,Quadriceps,Quadriceps Femoris,Kettlebell,1,Standing,Double Arm,Continuous,Neutral,Front Rack,Continuous,Heels Elevated,Single Exercise,Lower Body,Push,Bilateral,Bodybuilding
399,Double Dumbbell Turkish Sit Up,Intermediate,Abdominals,Rectus Abdominis,Dumbbell,0,Supine,Double Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Midsection,Other,Bilateral,Unsorted*
400,Single Arm Kettlebell Front Rack Cyclist Squat,Novice,Quadriceps,Quadriceps Femoris,Kettlebell,1,Standing,Single Arm,Continuous,Neutral,Front Rack,Continuous,Heels Elevated,Single Exercise,Lower Body,Push,Unilateral,Bodybuilding
401,Single Arm Kettlebell Overhead Cyclist Squat,Intermediate,Quadriceps,Quadriceps Femoris,Kettlebell,1,Standing,Single Arm,Continuous,Pronated,Overhead,Continuous,Heels Elevated,Single Exercise,Lower Body,Push,Unilateral,Bodybuilding
402,Double Dumbbell Front Rack Alternating Cossack Squat,Novice,Quadriceps,Quadriceps Femoris,Dumbbell,0,Standing,Double Arm,Continuous,Neutral,Front Rack,Alternating,No Elevation,Single Exercise,Lower Body,Push,Unilateral,Bodybuilding
403,Kettlebell Horn Grip Cyclist Squat,Novice,Quadriceps,Quadriceps Femoris,Kettlebell,1,Standing,Double Arm,Continuous,Horn Grip,Front Rack,Continuous,Heels Elevated,Single Exercise,Lower Body,Push,Bilateral,Bodybuilding
404,Kettlebell Bottoms Up Horn Grip Cyclist Squat,Novice,Quadriceps,Quadriceps Femoris,Kettlebell,1,Standing,Double Arm,Continuous,Bottoms Up Horn Grip,Front Rack,Continuous,Heels Elevated,Single Exercise,Lower Body,Push,Bilateral,Bodybuilding
405,Single Arm Kettlebell Bottoms Up Front Rack Cyclist Squat,Intermediate,Quadriceps,Quadriceps Femoris,Kettlebell,1,Standing,Single Arm,Continuous,Bottoms Up,Front Rack,Continuous,Heels Elevated,Single Exercise,Lower Body,Push,Unilateral,Bodybuilding
406,Double Kettlebell Overhead Cyclist Squat,Intermediate,Quadriceps,Quadriceps Femoris,Kettlebell,1,Standing,Double Arm,Continuous,Pronated,Overhead,Continuous,Heels Elevated,Single Exercise,Lower Body,Push,Bilateral,Bodybuilding
407,Double Kettlebell Bottoms Up Overhead Cyclist Squat,Advanced,Quadriceps,Quadriceps Femoris,Kettlebell,1,Standing,Double Arm,Continuous,Bottoms Up,Overhead,Continuous,Heels Elevated,Single Exercise,Lower Body,Push,Bilateral,Bodybuilding
408,Double Kettlebell Bottoms Up Front Rack Cyclist Squat,Intermediate,Quadriceps,Quadriceps Femoris,Kettlebell,1,Standing,Double Arm,Continuous,Bottoms Up,Front Rack,Continuous,Heels Elevated,Single Exercise,Lower Body,Push,Bilateral,Bodybuilding
409,Single Arm Kettlebell Bottoms Up Overhead Cyclist Squat,Advanced,Quadriceps,Quadriceps Femoris,Kettlebell,1,Standing,Single Arm,Continuous,Bottoms Up,Overhead,Continuous,Heels Elevated,Single Exercise,Lower Body,Push,Unilateral,Bodybuilding
410,EZ Bar Seated Overhead Press,Novice,Shoulders,Anterior Deltoids,EZ Bar,1,Seated,Double Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Upper Body,Push,Bilateral,Bodybuilding
411,EZ Bar Tall Kneeling Overhead Tricep Extension,Novice,Triceps,Triceps Brachii ,EZ Bar,0,Tall Kneeling,Double Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Upper Body,Push,Bilateral,Bodybuilding
412,EZ Bar Reverse Grip Overhead Press,Novice,Shoulders,Anterior Deltoids,EZ Bar,0,Standing,Double Arm,Continuous,Supinated,Overhead,Continuous,No Elevation,Single Exercise,Upper Body,Push,Bilateral,Bodybuilding
413,Double Dumbbell Suitcase Knee Over Toe Split Squat,Novice,Quadriceps,Quadriceps Femoris,Dumbbell,0,Knee Over Toe Split Squat,Double Arm,Continuous,Neutral,Suitcase,Continuous,No Elevation,Single Exercise,Lower Body,Push,Unilateral,Bodybuilding
414,EZ Bar Reverse Grip Seated Overhead Press,Novice,Shoulders,Anterior Deltoids,EZ Bar,1,Seated,Double Arm,Continuous,Supinated,Overhead,Continuous,No Elevation,Single Exercise,Upper Body,Push,Bilateral,Bodybuilding
415,EZ Bar Close Grip Bench Press,Novice,Triceps,Triceps Brachii,EZ Bar,1,Supine,Double Arm,Continuous,Pronated,Above Chest,Continuous,No Elevation,Single Exercise,Upper Body,Push,Bilateral,Bodybuilding
416,EZ Bar Close Grip Incline Bench Press,Novice,Triceps,Triceps Brachii,EZ Bar,1,Seated,Double Arm,Continuous,Pronated,Above Chest,Continuous,No Elevation,Single Exercise,Upper Body,Push,Bilateral,Bodybuilding
417,EZ Bar Close Grip Decline Bench Press,Novice,Triceps,Triceps Brachii,EZ Bar,1,Supine,Double Arm,Continuous,Pronated,Above Chest,Continuous,No Elevation,Single Exercise,Upper Body,Push,Bilateral,Bodybuilding
418,Cable Half Kneeling Pallof Press,Novice,Abdominals,Obliques,Cable,0,Half Kneeling,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Midsection,Unsorted*,Bilateral,Unsorted*
